"","...1","...2","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license","days_since_last_review","...22","dist_from_subway_in_miles","dist_from_airport_in_miles"
"15",15,15,79867,"DC, Near Metro II",7086,"Edward",NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90618,-76.98498,"Private room",500,1125,10,"9/30/2016",0.08,3,266,0,NA,2210,NA,0.986852863227823,4.71265634975044
"16",16,16,3943,"Historic Rowhouse Near Monuments",5059,"Vasa",NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,"Private room",75,1,443,"6/24/2022",2.73,4,298,9,"Hosted License: 5007242201001033",117,NA,0.350104278357789,4.50860332748511
"17",17,17,887461,"Cozy room right next to the petworth metro station",315148,"John",NA,"Brightwood Park, Crestwood, Petworth",38.93788,-77.02313,"Private room",39,31,16,"6/6/2022",0.18,46,168,4,NA,135,NA,0.0352501581778534,5.97202016563131
"18",18,18,4197,"Bedroom in DC 2 blocks to Metro",5061,"Sandra",NA,"Capitol Hill, Lincoln Park",38.88719,-76.99472,"Private room",70,7,47,"9/14/2022",0.29,2,290,2,"Hosted License: 5007242201000749",35,NA,0.190028381613789,3.37172471394846
"19",19,19,4967,"DC, Near Metro",7086,"Edward",NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91217,-76.99249,"Private room",500,1125,31,"9/22/2016",0.21,3,254,0,NA,2218,NA,0.642161878322318,4.82411976213528
"20",20,20,93551,"Upscale Master Close to Everything",481929,"Chris",NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,"Private room",88,31,102,"8/29/2022",0.73,4,364,3,NA,51,NA,0.181817915028371,4.41660426935481
"21",21,21,888029,"PERFECT ROOM FOR INTERNS OR STUDENTS",315148,"John",NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93664,-77.02298,"Private room",35,31,14,"8/13/2022",0.13,46,348,2,NA,67,NA,0.061331244723453,5.88834543291407
"22",22,22,116951,"Upscale Private Close to Everything",481929,"Chris",NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91702,-77.01617,"Private room",75,31,82,"8/13/2022",0.6,4,364,2,NA,67,NA,0.397321833748801,4.63111709854383
"23",23,23,5589,"Cozy apt in Adams Morgan",6527,"Ami",NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,"Entire home/apt",70,31,95,"3/5/2020",0.6,1,106,0,NA,958,NA,0.664680581999948,4.60896690348263
"24",24,24,6165,"Private Bath & Laundry  + Huge Lower Level Suite",5782,"Val",NA,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,"Private room",82,31,22,"7/16/2022",0.15,3,365,1,NA,95,NA,1.29822574415625,6.98394309345562
"25",25,25,889302,"DC Sanctuary with Two Workstations & Fast Internet",4717941,"Joe",NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91902,-77.04261,"Entire home/apt",129,4,121,"9/2/2022",1.03,1,0,13,"Hosted License: 5007262201001060",47,NA,0.651067760111431,4.62526534434535
"26",26,26,11785,"Sanctuary near Cathedral",32015,"Teresa",NA,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,"Entire home/apt",125,31,413,"6/27/2022",2.68,4,365,11,NA,114,NA,1.13999003187661,5.52349972650748
"27",27,27,150109,"Great apartment in perfect location",723470,"Steffanie",NA,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,"Entire home/apt",135,31,31,"3/1/2022",0.23,1,71,1,NA,232,NA,0.431584996284651,4.35917975496357
"28",28,28,892183,"SPACIOUS VICTORIAN HOME IN LOGAN CIRCLE!",4280278,"Sara",NA,"Shaw, Logan Circle",38.90746,-77.02716,"Entire home/apt",429,3,210,"8/15/2022",2.24,4,240,33,"Hosted License: 5007242201001758
Unhosted License: 5007262201001759",65,NA,0.294734350740896,3.86292259282116
"29",29,29,153545,"Guest Room 3 miles to the White House",738459,"Natasha",NA,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,"Private room",59,7,38,"6/21/2022",0.28,5,113,1,"Hosted License: 5007242201000811
Unhosted License: 5007262201000812",120,NA,0.940984066657748,6.27240500523589
"30",30,30,155859,"~Upper North West GuestNest DC",745305,"Larry And Paulette",NA,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,"Private room",50,31,130,"10/28/2019",0.96,2,54,0,NA,1087,NA,0.96967047950295,7.88715594687333
"31",31,31,12442,"Peaches & Cream near Cathedral",32015,"Teresa",NA,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,"Private room",60,31,115,"8/8/2022",0.75,4,266,15,NA,72,NA,1.13212165033665,5.62478529704957
"32",32,32,893529,"Chic and in the City Room",4752493,"Kristie",NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91223,-77.01067,"Private room",350,31,1,"6/15/2013",0.01,1,365,0,NA,3413,NA,0.550795003647103,4.40358563053388
"33",33,33,13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,"Victoria",NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,"Entire home/apt",110,2,32,"7/30/2022",0.21,1,266,4,"Hosted License: 5007242201000873",81,NA,0.074242712619894,5.2733033955954
"34",34,34,898543,"welcome to foggy bottom - on metro!",4795247,"Diana",NA,"West End, Foggy Bottom, GWU",38.90153,-77.05434,"Entire home/apt",207,31,166,"8/22/2022",1.7,2,334,2,NA,58,NA,0.22885317433003,3.52964866731542
"35",35,35,14218,"Quiet Comfort near Nat'l Cathedral",32015,"Teresa",NA,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,"Private room",60,31,101,"9/11/2022",0.73,4,288,6,NA,38,NA,1.16919383201147,5.57259794665636
"36",36,36,164069,"Bedroom in Lower Level Apartment",5059,"Vasa",NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,"Private room",70,2,198,"8/17/2022",1.45,4,232,2,"Hosted License: 5007242201001033",63,NA,0.533295082811746,4.54601546088983
"37",37,37,898544,"welcome to the heart of washington",4795247,"Diana",NA,"West End, Foggy Bottom, GWU",38.8996,-77.05277,"Entire home/apt",207,31,127,"5/27/2022",1.22,2,184,11,NA,145,NA,0.15589951879223,3.37924723525839
"38",38,38,174808,"Historic American Four Square",835242,"Jeffrey",NA,"Historic Anacostia",38.86432,-76.98749,"Private room",95,2,50,"8/29/2022",0.64,1,173,13,"Hosted License: 5007242201001736",51,NA,0.440363650538552,2.86804641945085
"39",39,39,175608,"People's Place  - Convention Center",50148,"Adreinne",NA,"Shaw, Logan Circle",38.90756,-77.02212,"Entire home/apt",70,31,186,"9/5/2021",1.4,3,243,0,NA,409,NA,0.0777591934219423,3.92011433784975
"40",40,40,17131,"The Loft near National Cathedral",32015,"Teresa",NA,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,"Private room",60,31,105,"8/31/2022",0.69,4,256,20,NA,49,NA,1.15818049353156,5.54894241965226
"41",41,41,900225,"The MONROE: 2 bdrm house BROOKLAND Arts District",3725621,"Rosie & Donald",NA,"Brookland, Brentwood, Langdon",38.93268,-76.98863,"Entire home/apt",200,31,41,"9/9/2021",0.41,1,64,0,NA,405,NA,0.324633895979913,6.17180486076671
"42",42,42,24712,"Relaxing, Spacious, Private, Walkable in Petworth!",100727,"Capital Vacation",NA,"Brightwood Park, Crestwood, Petworth",38.94771,-77.02368,"Entire home/apt",272,4,157,"8/28/2022",1.17,1,160,25,"Hosted License: 5007242201002072
Unhosted License: 5007262201002073",52,NA,0.708561913195768,6.64133448350672
"43",43,43,178395,"Spare Room for Washington,DC Visit or entire house",852801,"Allison",NA,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,"Private room",399,31,0,NA,NA,2,365,0,NA,-1,NA,0.996347376500046,7.63067617639205
"44",44,44,902573,"Primo Live-In Office Near Downtown",481929,"Chris",NA,"Shaw, Logan Circle",38.91054,-77.02149,"Private room",72,31,23,"11/16/2016",0.2,4,364,0,NA,2163,NA,0.204496097608528,4.12831431375602
"45",45,45,925318,"Basement Studio",4977214,"Lisa",NA,"Brightwood Park, Crestwood, Petworth",38.9413,-77.03284,"Private room",50,31,13,"8/8/2022",0.11,1,126,1,NA,72,NA,0.577031433359014,6.16051052616091
"46",46,46,196429,"Takoma Garden apt-Lush yard,pets ok",956417,"Julia",NA,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,"Entire home/apt",125,31,7,"4/1/2022",0.06,1,359,1,NA,201,NA,0.488517691068966,8.13689928875558
"47",47,47,198685,"Private room in central location.",966613,"Robin",NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,"Private room",47,31,153,"7/30/2022",1.14,1,138,20,NA,81,NA,0.461714183826273,5.76777305751015
"48",48,48,26147,"Beautiful Cozy Full  Bed Room",5782,"Val",NA,"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463,"Private room",53,31,9,"8/20/2018",0.06,3,365,0,NA,1521,NA,1.37353379687814,7.12138914715021
"49",49,49,945426,"1BR Suite in the Heart of Things",5121445,"Rose",NA,"Friendship Heights, American University Park, Tenleytown",38.9604,-77.08253,"Private room",92,2,378,"9/12/2022",3.28,1,313,39,"Hosted License: 5007242201000371",37,NA,0.148620532192027,7.86341977747431
"50",50,50,201116,"Victorian Haven - Private Basement!",983611,"Reed",NA,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,"Entire home/apt",90,31,220,"7/4/2022",1.64,1,358,30,"Hosted License: 5007242201001837",107,NA,0.13487967582979,8.51733356444313
"51",51,51,997859,"Upscale+DuPont+PRIVATE Entry+KING+DRIVEWAY Option!",1662757,"Gloria",NA,"Dupont Circle, Connecticut Avenue/K Street",38.9135,-77.04356,"Entire home/apt",595,31,93,"7/17/2022",0.81,4,298,15,NA,94,NA,0.268810321646135,4.24867699953193
"52",52,52,27281,"Capitol Hill H Street 1BR Apt :)",117099,"Stephen",NA,"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133,"Entire home/apt",645,31,15,"7/14/2016",0.1,1,365,0,NA,2288,NA,0.77997760505117,4.19236810938613
"53",53,53,1003792,"SPECTACULAR HOME CAPITOL HILL!",4280278,"Sara",NA,"Union Station, Stanton Park, Kingman Park",38.89455,-76.9911,"Entire home/apt",500,31,56,"10/2/2021",0.7,4,174,1,NA,382,NA,0.734972901414597,3.87972527462873
"54",54,54,27682,"Private 1-bed apartment-Walk to MET",36646,"Ellen",NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,"Entire home/apt",65,120,11,"8/13/2022",0.07,2,260,1,NA,67,NA,0.920674141045346,8.07586844134009
"55",55,55,204741,"1-Suburbia in the City--Best Value!!!",1005751,"Denise",NA,"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624,"Private room",33,31,116,"6/23/2022",0.87,2,155,2,NA,118,NA,1.31073100562786,2.82184800485838
"56",56,56,1026034,"Perfect studio in VERY central DC - renovated!",2070536,"Joel",NA,"Shaw, Logan Circle",38.91007,-77.03316,"Entire home/apt",160,2,389,"9/11/2022",3.43,1,340,59,"Hosted License: 5007242201000142",38,NA,0.560928113099894,4.00759345522804
"57",57,57,1048410,"16th Street Heights one bedroom, parking included",5771803,"Anneliese",NA,"Brightwood Park, Crestwood, Petworth",38.95132,-77.02831,"Entire home/apt",70,31,50,"7/16/2017",0.55,1,134,0,NA,1921,NA,0.993448492129211,6.86533814158588
"58",58,58,205809,"Modern Rowhouse with Patio Dining and Parking",1012315,"Elizabeth",NA,"Brightwood Park, Crestwood, Petworth",38.95777,-77.02146,"Entire home/apt",103,31,31,"5/28/2022",0.23,1,321,17,"Exempt",144,NA,1.12775756213003,7.34492943731329
"59",59,59,32087,"American Guest House - Room 301",138459,"Lucia",NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,"Private room",209,1,15,"3/4/2020",0.11,4,314,0,"Exempt",959,NA,0.573089336142032,4.54619077252618
"60",60,60,1083336,"Beautiful Renovated Rowhome in DC",5956393,"Kyle",NA,"Brightwood Park, Crestwood, Petworth",38.95152,-77.021,"Entire home/apt",229,31,324,"8/8/2022",2.9,2,0,4,NA,72,NA,0.980619343254805,6.92029209119093
"61",61,61,52092,"People's Place 2- Convention Center",50148,"Adreinne",NA,"Shaw, Logan Circle",38.9077,-77.02431,"Entire home/apt",85,31,196,"8/11/2022",1.34,3,272,10,NA,69,NA,0.156778966193685,3.90540957100158
"62",62,62,223203,"ROOM FOR RENT IN A NICE AREA OF DC",1159505,"Elizabeth",NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",90,31,11,"7/19/2022",0.08,4,360,5,"Hosted License: 5007242201001959",92,NA,0.821413840160993,9.42080288315091
"63",63,63,1092713,"Heart DuPont - Deluxe 1BR/1BA/Kitchen/Opt Parking",511136,"Tommy",NA,"Dupont Circle, Connecticut Avenue/K Street",38.90946774,-77.0451262,"Entire home/apt",143,1,402,"9/8/2022",3.54,4,139,41,"Hosted License: 5007242201000569",41,NA,0.0938266254323691,3.97910346691828
"64",64,64,1824864,"Gracie's Place on Capitol Hill",9550761,"Sheila",NA,"Union Station, Stanton Park, Kingman Park",38.89864,-76.987747,"Private room",145,2,94,"9/11/2022",0.88,1,169,36,"Hosted License: 5007242201001750",38,NA,1.00763507413568,4.2130977250117
"65",65,65,1838623,"Furnished Private Room South of Takoma D.C.",9542055,"Diane",NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96885,-77.00968,"Private room",22,31,13,"8/14/2022",0.24,2,206,5,NA,66,NA,0.681648646364962,8.19970587450412
"66",66,66,1106738,"Entire home/apt in Washington",6076215,"Mark",NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92275,-77.04161,"Entire home/apt",120,180,0,NA,NA,1,0,0,NA,-1,NA,0.606707485289686,4.87952956334324
"67",67,67,1841397,"Furnished Large Private Room S. of Takoma D.C.",9542055,"Diane",NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96971,-77.00793,"Private room",26,31,18,"5/7/2022",0.18,2,43,2,NA,165,NA,0.711840683950596,8.27624401135521
"68",68,68,223922,"Private Retreat Apartment in DC. Pets are welcome!",738459,"Natasha",NA,"Brightwood Park, Crestwood, Petworth",38.94482,-77.04437,"Entire home/apt",118,1,165,"7/17/2022",1.24,5,120,30,"Hosted License: 5007242201000811
Unhosted License: 5007262201000812",94,NA,1.01896361280709,6.40804628918813
"69",69,69,251611,"LUXURY LIVING AT A BARGAIN",1159505,"Elizabeth",NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",90,31,1,"3/10/2019",0.02,4,365,0,"Hosted License: 5007242201001959",1319,NA,0.821413840160993,9.42080288315091
"70",70,70,1112617,"Skylit Studio in Adams Morgan",6105873,"John",NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91843,-77.04338,"Entire home/apt",118,31,185,"5/31/2022",2.08,2,103,3,NA,141,NA,0.608869638365807,4.58727638518193
"71",71,71,1860120,"Pet Friendly Private BSMT w/Parking & Backyard",10470695,"Miguel",NA,"Brightwood Park, Crestwood, Petworth",38.94334,-77.01426,"Entire home/apt",90,2,165,"8/23/2022",2.22,1,66,19,"Hosted License: 5007242201000358",57,NA,0.646602565468509,6.42429808936847
"72",72,72,1864715,"Beautiful 1 BR Apt | Pool | Gym | Washer / D",9419684,"Churchill",NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,"Entire home/apt",294,31,15,"6/8/2022",0.14,13,356,5,NA,133,NA,0.102244457040629,3.30857609969368
"73",73,73,1126839,"Sunny, Historic Townhouse in DC",192856,"Ruzgar",NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91491,-77.02544,"Entire home/apt",160,120,61,"4/19/2021",0.54,1,179,0,NA,548,NA,0.183380249673796,4.38525646566031
"74",74,74,251615,"NICE HOUSE IN A VERY NICE NEIGHBORHOOD",1159505,"Elizabeth",NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",90,31,6,"8/19/2022",0.12,4,365,1,"Hosted License: 5007242201001959",61,NA,0.821413840160993,9.42080288315091
"75",75,75,1138235,"Georgetown 3BR Townhouse 2019 Remodel Patio Garage",5598784,"Christian",NA,"Georgetown, Burleith/Hillandale",38.90381,-77.06288,"Entire home/apt",999,3,18,"5/23/2022",0.17,1,86,1,"Unhosted License: 5007262201000312",149,NA,0.695452188793435,3.82376190291303
"76",76,76,251619,"LUXURY LIVING AT A BARGAIN",1159505,"Elizabeth",NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",90,31,9,"5/29/2022",0.08,4,365,1,"Hosted License: 5007242201001959",143,NA,0.821413840160993,9.42080288315091
"77",77,77,1865861,"House near downtown DC",3138065,"Steve",NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93584,-77.04107,"Entire home/apt",150,3,14,"8/15/2022",0.17,2,13,4,"Unhosted License: 5007262201000218",65,NA,0.721418751904109,5.78099424022278
"78",78,78,1177438,"1890s Rowhouse @ Union Inn",6027536,"Freddie",NA,"Union Station, Stanton Park, Kingman Park",38.90419,-77.0022,"Entire home/apt",210,2,255,"8/14/2022",2.27,2,59,38,"Hosted License: 5007242201001550",66,NA,0.200639327071786,4.08346880162549
"79",79,79,1867513,"Lux 2 BR Near White House | Wifi+Gym+Min to Metro",9419684,"Churchill",NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,"Entire home/apt",364,31,26,"1/5/2020",0.25,13,362,0,NA,1018,NA,0.102244457040629,3.30857609969368
"80",80,80,1880860,"Near the US Capitol",9792214,"Ethel",NA,"Capitol Hill, Lincoln Park",38.88466,-76.98084,"Private room",69,2,137,"10/11/2019",1.31,2,364,0,"Hosted License: 5007242201001858",1104,NA,0.249076359876298,3.83205456915969
"81",81,81,1896951,"Mid-Century in Rock Creek Park",9789671,"Peggy & Paul",NA,"Colonial Village, Shepherd Park, North Portal Estates",38.9897,-77.0463,"Private room",90,31,127,"10/17/2021",1.24,1,256,2,NA,367,NA,0.884483977383908,9.50601240312075
"82",82,82,262629,"Guest bedroom and private bath.",36646,"Ellen",NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96691,-77.0044,"Private room",58,7,39,"7/17/2022",0.3,2,256,4,"Exempt",94,NA,0.9833132165488,8.12782406770465
"83",83,83,1205516,"02. Small furnished room in Washington",3672670,"Dennis",NA,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87164,-77.01247,"Private room",70,1,350,"9/5/2022",3.09,14,159,40,"Hosted License: 5007242201000434",44,NA,0.432092146939742,1.92743866563729
"84",84,84,1901631,"2BR/1BA Guest Suite - Union Station",9011212,"David",NA,"Union Station, Stanton Park, Kingman Park",38.90192,-77.00103,"Entire home/apt",128,2,182,"8/28/2022",1.76,3,176,4,"Hosted License: 5007242201001752
Unhosted License: 5007242201001753",52,NA,0.368600109069795,3.97806902020673
"85",85,85,1225965,"Part City Part Country Homestay!",6686327,"Yolanda",NA,"Cathedral Heights, McLean Gardens, Glover Park",38.93152,-77.08399,"Entire home/apt",325,31,15,"10/27/2019",0.14,1,365,0,NA,1088,NA,1.22029273670207,6.03480997538163
"86",86,86,1245292,"Railroad Retirement w/Private Bath in Chevy Chase!",5448602,"Maureen",NA,"Hawthorne, Barnaby Woods, Chevy Chase",38.96594,-77.078,"Private room",72,31,348,"8/29/2022",3.56,4,345,25,NA,51,NA,0.586485224631077,8.15737639301535
"87",87,87,290001,"Cozy Rowhouse Near Logan Circle, Convention Center",1505235,"Jane",NA,"Shaw, Logan Circle",38.91001,-77.02563,"Entire home/apt",180,2,147,"7/10/2022",1.15,1,119,10,"Unhosted License: 5007262201000654",101,NA,0.314080937679476,4.04974466501361
"88",88,88,1270729,"All Amenities, Modernized Historic Row Home Steps to Capitol",13743641,"Eric",NA,"Union Station, Stanton Park, Kingman Park",38.89259,-76.99799,"Entire home/apt",3500,2,24,"7/7/2019",0.23,8,255,0,"Exempt",1200,NA,0.55984477578784,3.53632688750666
"89",89,89,296196,"Charming Dupont English Basement",1528235,"Frank",NA,"Dupont Circle, Connecticut Avenue/K Street",38.9146,-77.03602,"Entire home/apt",149,3,60,"9/11/2022",0.47,1,299,1,"Hosted License: 5007242201000602",38,NA,0.494118189559159,4.31347194875794
"90",90,90,1936134,"Modern DC Northwest Apartment with Parking Spot",10017900,"Elizabeth",NA,"North Cleveland Park, Forest Hills, Van Ness",38.95442,-77.07159,"Entire home/apt",139,3,230,"8/16/2022",2.33,1,299,33,"Hosted License: 5007242201000526",64,NA,0.581375102623314,7.29858162779187
"91",91,91,1273717,"DC House opposite park",6932915,"Hester",NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9326,-77.0465,"Entire home/apt",182,31,13,"7/24/2021",0.12,1,43,0,"Hosted License: 5007262201001974",452,NA,0.610574821931449,5.5752568292841
"92",92,92,1944504,"Charming two-bedroom Kalorama",10057663,"Victoria",NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92029,-77.04861,"Entire home/apt",105,180,0,NA,NA,1,83,0,NA,-1,NA,0.391292070610131,4.74268880449277
"93",93,93,1978626,"Private 1BR/1BA/Kitchen Apt near Takoma DC Metro",3643066,"Kara And Susan",NA,"Takoma, Brightwood, Manor Park",38.97735,-77.02458,"Entire home/apt",84,5,139,"9/7/2022",1.62,1,28,15,"Hosted License: 5007242201000990",42,NA,0.360207601857006,8.6718746877662
"94",94,94,298346,"Sunny Spacious 1 Bdrm+Study Garden Apt",743745,"Louisa",NA,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92306,-77.10052,"Entire home/apt",115,3,13,"8/9/2022",0.19,1,0,7,"Hosted License: 5007242201001142",71,NA,2.11539845165509,5.97821024588836
"95",95,95,299030,"Red Room - Washington 1-2/p Bedroom near Metro",1541062,"Donna",NA,"Colonial Village, Shepherd Park, North Portal Estates",38.9806,-77.03084,"Private room",95,1,26,"8/7/2022",0.21,2,361,7,"Hosted License: 5007242201000328",73,NA,0.75820863490932,8.87440092453703
"96",96,96,1280092,"Convenient & Comfortable in Petworth",5243622,"Ariel",NA,"Brightwood Park, Crestwood, Petworth",38.94091,-77.0195,"Entire home/apt",120,2,117,"9/13/2022",2.12,1,159,24,"Hosted License: 5007242201000464",36,NA,0.322601147151412,6.2079134799593
"97",97,97,303723,"Modern Private English Unit, Great Location",1563230,"Gennet",NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91611,-77.02662,"Entire home/apt",155,2,173,"3/12/2020",1.87,1,0,0,"Exempt",951,NA,0.0784672502444388,4.45790743246645
"98",98,98,1997483,"Blazing Wifi - 3 blocks to Capitol on East Capitol Street - Entire Top Floors.  Grand street. Roof deck.  Veteran owned small business since 1996.",10292686,"Capitol Hill Stay",NA,"Capitol Hill, Lincoln Park",38.89105,-77.00117,"Entire home/apt",247,31,26,"1/17/2022",0.33,19,365,6,NA,275,NA,0.466117296496817,3.34670785281953
